freq,unit,hazard,nace_r2,waste,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,T,HAZ_NHAZ,A,W012,HR	0 	0 	1 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W012,HU	284 	353 	2 	17 	8 	21 	5 	0 	17 
A,T,HAZ_NHAZ,A,W012,IE	0 	0 	: 	0 	19 	19 	20 	7 	7 
A,T,HAZ_NHAZ,A,W012,IS	0 	: 	: 	6 	6 	0 	3 	2 	1 
A,T,HAZ_NHAZ,A,W012,IT	31 	1361 	4564 	238 	39 	28 	39 	646 	20 
A,T,HAZ_NHAZ,A,W012,LI	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,T,HAZ_NHAZ,A,W012,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W012,LU	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W012,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W012,ME	: 	: 	: 	: 	0 	0 	0 	0 	0 
